,precision,recall,f1-score,support
0,0.8859114249037228,0.8825127877237852,0.8842088404868674,6256.0
1,0.9607072691552063,0.9658577878103838,0.9632756437315323,3544.0
2,0.9997051017398997,0.9982332155477032,0.9989686164726683,3396.0
3,0.3866739486619334,0.5388127853881278,0.4502384737678855,2628.0
4,0.43564356435643564,0.45171102661596957,0.4435318275154004,2630.0
5,0.304643261608154,0.3095512082853855,0.3070776255707763,2607.0
6,0.25009940357852883,0.2488132911392405,0.24945468966884793,2528.0
7,0.7366758784050533,0.7452076677316294,0.7409172126265634,2504.0
8,0.4798814061838204,0.4585188182921894,0.4689569536423841,2471.0
9,0.7051918735891648,0.5980091883614089,0.6471928734203439,2612.0
10,0.8488943488943489,0.8368994751715785,0.8428542386663956,2477.0
11,0.3127696289905091,0.2908142799839551,0.3013926418623987,2493.0
12,0.31287813310285223,0.2885611797528896,0.3002280738129795,2509.0
13,1.0,0.3395638629283489,0.5069767441860465,321.0
14,0.02564102564102564,0.02,0.022471910112359553,250.0
accuracy,0.6263957579156681,0.6263957579156681,0.6263957579156681,0.6263957579156681
macro avg,0.5763544179207102,0.5315377716488398,0.5418497577028967,39226.0
weighted avg,0.6321734807490881,0.6263957579156681,0.6267300699274544,39226.0
