,precision,recall,f1-score,support
0,0.886783362775012,0.8826726342710998,0.8847232235840744,6256.0
1,0.9607072691552063,0.9658577878103838,0.9632756437315323,3544.0
2,1.0,1.0,1.0,3396.0
3,0.4296844565640826,0.4197108066971081,0.4246390760346487,2628.0
4,0.4382309941520468,0.455893536121673,0.4468878121505777,2630.0
5,0.3150943396226415,0.3202915228231684,0.31767167586075706,2607.0
6,0.2526817640047676,0.25158227848101267,0.25213082259663033,2528.0
7,0.7366758784050533,0.7452076677316294,0.7409172126265634,2504.0
8,0.4847328244274809,0.462565762849049,0.47338993580451444,2471.0
9,0.6711077274457556,0.6749617151607963,0.6730292040465738,2612.0
10,0.8635051546391752,0.8453774727492935,0.8543451652386781,2477.0
11,0.3127962085308057,0.29121540312876054,0.30162027420024934,2493.0
12,0.32170542635658916,0.2977281785571941,0.30925274270337405,2509.0
13,0.4068441064638783,1.0,0.5783783783783784,321.0
14,0.02564102564102564,0.02,0.022471910112359553,250.0
accuracy,0.631698363330444,0.631698363330444,0.631698363330444,0.631698363330444
macro avg,0.5404127025455681,0.5755376510920779,0.5495155384712608,39226.0
weighted avg,0.6309250478426134,0.631698363330444,0.6301891853225445,39226.0
