,precision,recall,f1-score,support
0,0.8542516016307513,0.9378196930946292,0.8940871685461749,6256.0
1,0.9609438567941416,0.9997178329571106,0.9799474484856867,3544.0
2,1.0,1.0,1.0,3396.0
3,0.8520452567449956,0.3725266362252664,0.518400847233254,2628.0
4,0.4931237721021611,0.5726235741444867,0.52990851513019,2630.0
5,0.22595914299950173,0.6958189489835059,0.341137752703338,2607.0
6,0.6193771626297578,0.14161392405063292,0.23052157115260788,2528.0
7,0.7864559819413093,0.6956869009584664,0.7382920110192838,2504.0
8,0.7859892224788299,0.4131930392553622,0.5416445623342175,2471.0
9,0.6000547495209417,0.8392036753445635,0.6997605746209099,2612.0
10,0.9976076555023924,0.8417440452159871,0.913072038537333,2477.0
11,0.482174688057041,0.2170076213397513,0.29930843706777316,2493.0
12,0.46877409406322285,0.24232762056596255,0.3194955333683658,2509.0
13,0.4068441064638783,1.0,0.5783783783783784,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.6621373578748789,0.6621373578748789,0.6621373578748789,0.6621373578748789
macro avg,0.6355734193952617,0.5979522341423816,0.5722636559051675,39226.0
weighted avg,0.721343737062733,0.6621373578748789,0.6551892931761716,39226.0
