,precision,recall,f1-score,support
0,0.8456453003736706,0.940537084398977,0.8905706069320417,6256.0
1,0.9609014390442574,0.998589164785553,0.9793828697938287,3544.0
2,1.0,1.0,1.0,3396.0
3,0.8769092542677448,0.3713850837138508,0.5217856188184977,2628.0
4,0.492156862745098,0.5726235741444867,0.5293497363796134,2630.0
5,0.22623645197458578,0.6965861143076333,0.34154598457776947,2607.0
6,0.6046901172529313,0.14280063291139242,0.23104,2528.0
7,0.7709327548806941,0.7096645367412141,0.7390309835724682,2504.0
8,0.789922480620155,0.41238365034399027,0.5418771603296995,2471.0
9,0.6058823529411764,0.8281010719754976,0.6997735360724684,2612.0
10,0.9966539196940727,0.8417440452159871,0.912672357189757,2477.0
11,0.484361036639857,0.21740874448455677,0.3001107419712071,2493.0
12,0.48936170212765956,0.23834196891191708,0.3205574912891986,2509.0
13,0.4068441064638783,1.0,0.5783783783783784,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.6623922908275124,0.6623922908275124,0.6623922908275124,0.6623922908275124
macro avg,0.6366998519350522,0.5980110447956705,0.5724050310203286,39226.0
weighted avg,0.7216806424568787,0.6623922908275124,0.6549836526309734,39226.0
