,precision,recall,f1-score,support
0,0.8442013129102844,0.925031969309463,0.882770192967737,6256.0
1,0.9609544468546638,1.0,0.9800884955752213,3544.0
2,0.9994114184814596,1.0,0.9997056226081837,3396.0
3,0.39387823747056844,0.44558599695586,0.4181396179253704,2628.0
4,0.41988031914893614,0.4802281368821293,0.44803121674352603,2630.0
5,0.2573078311079033,0.27349443805140006,0.2651543324656006,2607.0
6,0.22422561257512713,0.1918512658227848,0.20677893839266678,2528.0
7,0.7001071046054981,0.78314696485623,0.7393025447690859,2504.0
8,0.45410414827890555,0.4164305949008499,0.43445218492716914,2471.0
9,0.5641625255773166,0.7388973966309341,0.6398143543842201,2612.0
10,0.8558875219683656,0.786435203875656,0.8196928255838418,2477.0
11,0.3009118541033435,0.23826714801444043,0.26595030221625254,2493.0
12,0.24260355029585798,0.1470705460342766,0.18312655086848634,2509.0
13,1.0,0.3395638629283489,0.5069767441860465,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.6194615816040382,0.6194615816040382,0.6194615816040382,0.6194615816040382
macro avg,0.5478423922252154,0.5177335682841583,0.5193322615742272,39226.0
weighted avg,0.6018110251142141,0.6194615816040382,0.6065815802008215,39226.0
