,precision,recall,f1-score,support
0,0.8384615384615385,0.9234335038363172,0.8788985242659365,6256.0
1,0.9609332609875203,0.9994356659142212,0.9798063623789764,3544.0
2,1.0,1.0,1.0,3396.0
3,0.37978381536663747,0.4946727549467275,0.42968104445546196,2628.0
4,0.4200268817204301,0.4752851711026616,0.44595076703531933,2630.0
5,0.3388145315487572,0.3398542385884158,0.3393335886633474,2607.0
6,0.2357685009487666,0.19659810126582278,0.21440897325280414,2528.0
7,0.6968406105786298,0.7839456869009584,0.7378312347303139,2504.0
8,0.5292411793136781,0.44314042897612305,0.4823788546255507,2471.0
9,0.5729783037475346,0.6673047473200613,0.6165546515741068,2612.0
10,0.9545028142589118,0.8215583366976181,0.883054892601432,2477.0
11,0.31816003833253476,0.2663457681508223,0.28995633187772923,2493.0
12,0.37058823529411766,0.27620565962534877,0.31651061886275406,2509.0
13,0.990909090909091,0.3395638629283489,0.505800464037123,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.6360577168204762,0.6360577168204762,0.6360577168204762,0.6360577168204762
macro avg,0.5738005867645432,0.5351562617502298,0.5413444205573903,39226.0
weighted avg,0.6267181206543655,0.6360577168204762,0.627444737564946,39226.0
