,precision,recall,f1-score,support
0,0.7753076617705439,0.9365409207161125,0.8483312821255339,6256.0
1,0.9606926882902693,0.9861738148984198,0.973266499582289,3544.0
2,1.0,0.9879269729093051,0.9939268256554585,3396.0
3,0.46139705882352944,0.3820395738203957,0.4179850124895921,2628.0
4,0.4161053276178812,0.5167300380228137,0.46099050203527814,2630.0
5,0.23343805491053135,0.6555427694668201,0.3442788074133763,2607.0
6,0.9761904761904762,0.04865506329113924,0.09269027882441598,2528.0
7,0.6587934886690073,0.8242811501597445,0.7323044172432145,2504.0
8,0.36986863711001644,0.36462970457304733,0.36723048705930306,2471.0
9,0.6612200435729847,0.697166921898928,0.6787178531494595,2612.0
10,0.8963093145869947,0.823576907549455,0.858405217757206,2477.0
11,0.6088235294117647,0.08303249097472924,0.14613483939286975,2493.0
12,0.5899864682002707,0.17377441211638103,0.2684729064039409,2509.0
13,1.0,0.3395638629283489,0.5069767441860465,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.6241268546372304,0.6241268546372304,0.6241268546372304,0.6241268546372304
macro avg,0.6405421832769513,0.5213089735550427,0.5126474448878657,39226.0
weighted avg,0.6848573131604155,0.6241268546372304,0.5969348836782313,39226.0
