,precision,recall,f1-score,support
0,0.7667487011211376,0.8964194373401535,0.8265291083271923,6256.0
1,0.9606879606879607,0.9929458239277652,0.9765505758290551,3544.0
2,1.0,0.9876325088339223,0.9937777777777779,3396.0
3,0.13352007469654528,0.10882800608828005,0.11991614255765198,2628.0
4,0.4042236763831053,0.5167300380228137,0.4536048064085447,2630.0
5,0.23455197132616487,0.6275412351361719,0.3414735963264454,2607.0
6,0.3477088948787062,0.05102848101265823,0.08899620558813386,2528.0
7,0.6396396396396397,0.8506389776357828,0.7302022625985602,2504.0
8,0.3004531195538515,0.348846620801295,0.3228464419475655,2471.0
9,0.5791583166332666,0.6638591117917305,0.618622904031395,2612.0
10,0.8917927556166896,0.7852240613645539,0.8351223701159295,2477.0
11,1.0,0.025671881267549136,0.050058662495111456,2493.0
12,0.7829457364341085,0.16102032682343564,0.2671074380165289,2509.0
13,1.0,0.2834890965732087,0.44174757281553395,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.5894304797838169,0.5894304797838169,0.5894304797838169,0.5894304797838169
macro avg,0.602762056464745,0.48665837377462134,0.4711037243223617,39226.0
weighted avg,0.6461572032600768,0.5894304797838169,0.5577230905719729,39226.0
