,precision,recall,f1-score,support
0,0.8881917631917632,0.8825127877237852,0.8853431686978832,6256.0
1,0.9606962380685008,0.9655756207674944,0.9631297495074584,3544.0
2,0.9997051017398997,0.9982332155477032,0.9989686164726683,3396.0
3,0.4024214471029115,0.5312024353120244,0.45793012957192064,2628.0
4,0.4518348623853211,0.4494296577946768,0.4506290507052993,2630.0
5,0.3017543859649123,0.29689298043728424,0.29930394431554525,2607.0
6,0.2530072173215718,0.24960443037974683,0.2512943050577459,2528.0
7,0.7358863008290565,0.744408945686901,0.7401230891403613,2504.0
8,0.46829672606713635,0.4573047349251315,0.46273546273546273,2471.0
9,0.7004424778761061,0.6060490045941807,0.6498357963875205,2612.0
10,0.8441080196399345,0.8328623334679047,0.8384474700264174,2477.0
11,0.3074735987002437,0.3036502206177296,0.3055499495459132,2493.0
12,0.29899799599198396,0.29732961339178954,0.2981614708233413,2509.0
13,1.0,0.3395638629283489,0.5069767441860465,321.0
14,0.025380710659898477,0.02,0.02237136465324385,250.0
accuracy,0.6264467445061949,0.6264467445061949,0.6264467445061949,0.6264467445061949
macro avg,0.5758797897026161,0.53164132290498,0.5420533541217886,39226.0
weighted avg,0.6320474557647319,0.6264467445061949,0.6270773681910802,39226.0
