,precision,recall,f1-score,support
0,0.8448892065761258,0.944693094629156,0.8920081503282771,6256.0
1,0.9609544468546638,1.0,0.9800884955752213,3544.0
2,1.0,1.0,1.0,3396.0
3,0.9345493562231759,0.3314307458143075,0.4893258426966292,2628.0
4,0.44288449266113594,0.5277566539923955,0.4816099930603747,2630.0
5,0.21900433357995983,0.794783275795934,0.34338747099767986,2607.0
6,0.9767441860465116,0.09968354430379747,0.1809045226130653,2528.0
7,0.8287153652392947,0.6569488817891374,0.7329026509244819,2504.0
8,0.7498218104062723,0.42573856738162685,0.5431078988125968,2471.0
9,0.5896975909789851,0.8809341500765697,0.7064783543137858,2612.0
10,0.9966539196940727,0.8417440452159871,0.912672357189757,2477.0
11,0.9667458432304038,0.1632571199358203,0.2793411118737131,2493.0
12,0.6649350649350649,0.20406536468712635,0.3122903324184203,2509.0
13,0.4068441064638783,1.0,0.5783783783783784,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.6566053128027329,0.6566053128027329,0.6566053128027329,0.6566053128027329
macro avg,0.7054959815259697,0.5914023629081239,0.5621663706121588,39226.0
weighted avg,0.7875928266424769,0.6566053128027329,0.645076455021937,39226.0
